,name,api_keyword,business_status,place_id,lat,lng,rating,user_ratings_total,types,vicinity,price_level
250,L'Amiral Chicken,restaurant,OPERATIONAL,ChIJn3LvpqJx5kcR8sZFM4y0zxM,48.8253584,2.3417385,3.5,280,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","11b Rue de l'Amiral Mouchez, Paris",1
251,Elite Restaurant,restaurant,OPERATIONAL,ChIJVxqm2URw5kcRaUeW39zxx10,48.8274511,2.3056209,3.9,202,"['restaurant', 'point_of_interest', 'food', 'establishment']","4 Boulevard Brune, Paris",1
252,Rosé Restaurant,restaurant,OPERATIONAL,ChIJgUcxPVFx5kcR0sadBL4aMLE,48.82974859999999,2.2919427,4.2,106,"['restaurant', 'point_of_interest', 'food', 'establishment']","4 Av. de la Prte de la Plaine, Paris",
253,Restaurant Galatasaray DÖNER,restaurant,OPERATIONAL,ChIJjcQw4fdw5kcRrF-XyrcvsEI,48.8164579,2.306393,4.4,204,"['restaurant', 'point_of_interest', 'food', 'establishment']","141 Av. Pierre Brossolette, Montrouge",2
254,brasserie restaurant hotel la place Malakoff,restaurant,OPERATIONAL,ChIJDb5DxTVx5kcR6ds1OmB45Dg,48.82181869999999,2.3018503,3.9,26,"['restaurant', 'point_of_interest', 'food', 'establishment']","41 Rue Gabriel Crié, Malakoff",
255,Restaurant Le Metro,restaurant,OPERATIONAL,ChIJVxPlKItw5kcRXOumWPqtlEo,48.8142283,2.2955531,4.6,169,"['restaurant', 'point_of_interest', 'food', 'establishment']","110 Rue Guy Môquet, Malakoff",1
256,Le Restaurant du Marché,restaurant,OPERATIONAL,ChIJYaEFx2lw5kcRNAeOQauaprw,48.8303756,2.2962379,4.1,131,"['restaurant', 'point_of_interest', 'food', 'establishment']","59 Rue de Dantzig, Paris",2
257,Restaurant Novecento,restaurant,OPERATIONAL,ChIJB3MzH2Fx5kcRwzM3wJggCcM,48.7899901,2.2909616,4.5,483,"['restaurant', 'point_of_interest', 'food', 'establishment']","11 Pl. du Château Sainte-Barbe, Fontenay-aux-Roses",2
258,Himalayan Restaurant,restaurant,OPERATIONAL,ChIJ7bz8yatx5kcRfDOG8p_4IVM,48.8193169,2.3231969,4.3,443,"['restaurant', 'point_of_interest', 'food', 'establishment']","40 Av. Henri Ginoux, Montrouge",2
259,Restaurant Crocus Paris,restaurant,OPERATIONAL,ChIJRbkdvE1w5kcRSQsmchzUc7A,48.8281238,2.3158332,4.9,257,"['restaurant', 'point_of_interest', 'food', 'establishment']","107 Rue Didot, Paris",
260,The Long Hop,bar,OPERATIONAL,ChIJ2VSRr-Zx5kcRsy5bO-HbFgM,48.85052049999999,2.3489923,4.2,1370,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","25 Rue Frédéric Sauton, Paris",2
261,My Baar,bar,OPERATIONAL,ChIJw-zdZsZx5kcR4_tG5bXfk-Q,48.8402689,2.3342333,4.2,684,"['bar', 'point_of_interest', 'establishment']","152 Bd du Montparnasse, Paris",1
262,Nuno's Bar,bar,OPERATIONAL,ChIJZQLxPMJx5kcRVvhQ3fUpRKE,48.84188779999999,2.3416338,4.6,48,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","19 Rue des Feuillantines, Paris",2
263,Bar Restaurant 111,bar,OPERATIONAL,ChIJYUWZuK1x5kcRmVk5QBU8BLA,48.84513279999999,2.2844335,4.9,138,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","111 Rue St Charles, Paris",
264,"Cubana Café , Soirées Salsa, Bar à Cocktails, Bar de nuit, Fumoir, Restaurant Montparnasse",bar,OPERATIONAL,ChIJgyEj4c5x5kcRCzd6ghcItvg,48.8426412,2.3289213,4.2,1623,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","47 Rue Vavin, Paris",2
265,XV Bar,bar,OPERATIONAL,ChIJjWe61Wxw5kcRqTfoMF6N7Rs,48.8369806,2.2897326,4.3,12,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","205 Rue de la Croix Nivert, Paris",1
266,The Counter Rugby Bar,bar,OPERATIONAL,ChIJG7qcP2tw5kcR9wyRJH8t9BQ,48.8356819,2.2929412,4.5,722,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","354 Bis Rue de Vaugirard, Paris",2
267,Archi' Bar,bar,OPERATIONAL,ChIJ_9VFPMZx5kcRGNhrXqIXK-g,48.83988189999999,2.3328365,4.4,120,"['bar', 'point_of_interest', 'establishment']","13 Bis Rue Campagne Première, Paris",1
268,Le Cristal,bar,OPERATIONAL,ChIJSxd9CjBw5kcR7ww2raHxnME,48.8457592,2.309863,4.2,1079,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","163 Av. de Suffren, Paris",1
269,L’ASPHALTE BAR,bar,OPERATIONAL,ChIJuRHdexhw5kcRjA9DKDdSCvw,48.8491037,2.2986356,4.3,226,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","115 Bd de Grenelle, Paris",1
270,Le Post Bar,bar,OPERATIONAL,ChIJl8a9KMlx5kcR0-M9cdlVd-Y,48.83465289999999,2.3048255,3.6,121,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","24 Rue de Vouillé, Paris",
271,The OakenShield Tavern,bar,OPERATIONAL,ChIJW01ew2Zx5kcRY4ikZxp_oiM,48.84625560000001,2.342901,4.8,278,"['bar', 'point_of_interest', 'establishment']","184 Rue Saint-Jacques, Paris",
272,Teddy's Bar,bar,OPERATIONAL,ChIJoR8GS-9x5kcRZscULlPrXUY,48.8450236,2.3494981,4.5,536,"['bar', 'cafe', 'food', 'point_of_interest', 'establishment']","3 Rue Thouin, Paris",2
273,Brewberry Bar,bar,OPERATIONAL,ChIJZbDwMelx5kcRN69dXeWxbvE,48.8429568,2.3484649,4.2,306,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","11 Rue du Pot de Fer, Paris",2
274,Le Bar'ouff,bar,OPERATIONAL,ChIJ90-OUoRx5kcR80q4nr1jVOc,48.8429869,2.3484186,4.4,19,"['bar', 'point_of_interest', 'establishment']","18 Rue du Pot de Fer, Paris",
275,Le bô bar,bar,OPERATIONAL,ChIJi3UrIeRx5kcR83zuT9o94SM,48.8498214,2.3481076,3.3,7,"['bar', 'point_of_interest', 'establishment']","47 Bd Saint-Germain, Paris",
276,Rhinocéros Bar,bar,OPERATIONAL,ChIJp0_vJaVx5kcRXb9loHT089w,48.8482006,2.2904544,4.4,528,"['bar', 'point_of_interest', 'establishment']","35 Rue de Lourmel, Paris",2
277,48 Cocktail Club,bar,OPERATIONAL,ChIJx_H9Gcxx5kcRfOglDMCznUQ,48.8424805,2.325741,4.2,513,"['bar', 'point_of_interest', 'establishment']","48 Rue du Montparnasse, Paris",2
278,Mad Maker Pub,bar,OPERATIONAL,ChIJkzOrreBx5kcR4ZxbgfJ3FDc,48.848275,2.3417913,3.9,1231,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","22 Rue Cujas, Paris",2
279,Solera Paris : Bar à Cocktail,bar,OPERATIONAL,ChIJ6UgRnMFx5kcRVXJSfhG5iJ8,48.840278,2.340759,4.6,1101,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","283 Rue Saint-Jacques, Paris",2
280,Le Melocoton Bar,bar,OPERATIONAL,ChIJN_qSDeZx5kcRh83isElZG4k,48.8470761,2.3486341,4.4,358,"['bar', 'point_of_interest', 'establishment']","10 Rue Descartes, Paris",1
281,Le Bar,bar,OPERATIONAL,ChIJ-zpRidtx5kcRaibSF-RvOUw,48.8497123,2.3380535,4.7,117,"['bar', 'point_of_interest', 'establishment']","27 Rue de Condé, Paris",2
282,Le Chouff'Bar,bar,OPERATIONAL,ChIJlQamOulx5kcR3pwFRiOfBZc,48.8430004,2.3486963,4.3,430,"['bar', 'point_of_interest', 'establishment']","16 Rue du Pot de Fer, Paris",2
283,Bar & Cantina,bar,OPERATIONAL,ChIJK9Kn2m1w5kcRO0ni8NTCuFA,48.8327689,2.2884921,2.0,4,"['bar', 'point_of_interest', 'establishment']","Bd Victor, Paris",
284,Le Scott bar,bar,OPERATIONAL,ChIJjX4E085x5kcR9ViHLgJBQ6s,48.84155,2.328647,3.9,75,"['bar', 'point_of_interest', 'establishment']","7 Rue Delambre, Paris",
285,The Copper Pub,bar,OPERATIONAL,ChIJS77dWFNx5kcRGdAWlsTjmyM,48.84044840000001,2.3246457,4.4,357,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","4 Imp. de la Gaité, Paris",2
286,Bar du Bouillon,bar,OPERATIONAL,ChIJS37WxhNx5kcRTEiVUc44RXI,48.8501519,2.3420642,4.3,135,"['bar', 'point_of_interest', 'establishment']","3 Rue Racine, Paris",
287,Bar 1802,bar,OPERATIONAL,ChIJD6g0P7Zx5kcRO7G2RVjwY3w,48.8379223,2.3492335,4.7,191,"['bar', 'point_of_interest', 'establishment']","22 Rue Pascal, Paris",
288,Bar Le Onze (Azoua’s),bar,OPERATIONAL,ChIJJ6r1AuRx5kcRYZMoRvujsIg,48.8505986,2.3497407,4.9,23,"['bar', 'point_of_interest', 'establishment']","11 Rue Maître Albert, Paris",
289,Le Piano Vache,bar,OPERATIONAL,ChIJf1VuP-Zx5kcRHZizbBGpHAc,48.8473066,2.3477401,4.5,730,"['bar', 'night_club', 'point_of_interest', 'establishment']","8 Rue Laplace, Paris",2
290,Le Bar de Fer,bar,OPERATIONAL,ChIJi3LUMulx5kcRbw7YInnqg00,48.842944,2.3488936,4.3,479,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","rue, 7 Rue du Pot de Fer, Paris",2
291,Le Violon Dingue,bar,OPERATIONAL,ChIJaefFbeZx5kcRGdiSd54mRJ8,48.8476448,2.3484186,4.1,758,"['bar', 'point_of_interest', 'establishment']","46 Rue de la Montagne Ste Geneviève, Paris",1
292,Le Bateau Ivre,bar,OPERATIONAL,ChIJT5znrOhx5kcRoDWbSo-6o-A,48.8456823,2.3489939,4.4,101,"['bar', 'point_of_interest', 'establishment']","40 Rue Descartes, Paris",
293,Le Beau Bar,bar,OPERATIONAL,ChIJHZhjAcNx5kcRImhHEpbZblE,48.8284575,2.3160017,4.9,276,"['bar', 'food', 'point_of_interest', 'establishment']","88 Rue Didot, Paris",
294,IPN,bar,OPERATIONAL,ChIJYzqLLe9x5kcRwduV7zMxwZA,48.84413060000001,2.3493833,4.0,844,"['bar', 'restaurant', 'night_club', 'food', 'point_of_interest', 'establishment']","23 Rue Mouffetard, Paris",2
295,Bistrot Des Artistes,bar,OPERATIONAL,ChIJs0AmzOZx5kcRZ19aT4LkN_k,48.8507833,2.3476198,4.5,364,"['bar', 'point_of_interest', 'establishment']","6 Rue des Anglais, Paris",1
296,Le Necker Bar,bar,OPERATIONAL,ChIJAQAkFTFw5kcR4AssDlEXBP4,48.8431399,2.3138271,3.3,15,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","175 Rue de Vaugirard, Paris",
297,Le Lock Groove,bar,OPERATIONAL,ChIJ08VVErZx5kcR2-TItRRqcN8,48.83535970000001,2.3266934,4.5,668,"['bar', 'restaurant', 'night_club', 'food', 'point_of_interest', 'establishment']","15 Rue Roger, Paris",1
298,Barong Bar Cocktails,bar,OPERATIONAL,ChIJaTsMkvBx5kcR5XtxG5q7IQY,48.8444385,2.3488613,4.9,51,"['bar', 'night_club', 'food', 'store', 'point_of_interest', 'establishment']","5 Rue Blainville, Paris",
299,Vertical Bar,bar,OPERATIONAL,ChIJY8NMB7xx5kcR84uULULNDNo,48.8464857,2.2940981,4.9,66,"['bar', 'point_of_interest', 'establishment']","102 Rue du Théâtre, Paris",
300,Murphy - Beers and tartines,bar,OPERATIONAL,ChIJ-S84nstx5kcRf460WVYI9O4,48.84045649999999,2.3235784,4.7,554,"['liquor_store', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","3 Rue du Maine, Paris",2
301,Le Bar de M,bar,OPERATIONAL,ChIJxyCM3bpx5kcR36NMEswNiPo,48.8412538,2.3035344,4.4,8,"['bar', 'point_of_interest', 'establishment']","100 Rue Cambronne, Paris",
302,Paris Mon Amour,bar,OPERATIONAL,ChIJswI0g75x5kcRVKvqaw6pA2Y,48.84274449999999,2.3286837,4.8,41,"['bar', 'point_of_interest', 'establishment']","50 Rue Vavin, Paris",
303,Bar Le Gustave,bar,OPERATIONAL,ChIJs7u_LD1w5kcRfdPqcHOblFQ,48.8473778,2.3012742,4.2,46,"['bar', 'point_of_interest', 'establishment']","2 Rue Cambronne, Paris",
304,Plan B - Bar bières crafts,bar,OPERATIONAL,ChIJ0ZUAWRpw5kcR_nZpWIMte-I,48.8489544,2.290686,4.5,702,"['bar', 'point_of_interest', 'establishment']","28 Rue de Lourmel, Paris",2
305,Bar Brasserie,bar,OPERATIONAL,ChIJJfLWSaBx5kcRWrr6EDnbHoY,48.8442094,2.3222555,0.0,0,"['bar', 'point_of_interest', 'establishment']","60 Bd du Montparnasse, Paris",
306,Bar Heure Sup',bar,OPERATIONAL,ChIJmRN2qBJw5kcRivPKNcuUQW0,48.8377682,2.2871582,3.8,279,"['bar', 'point_of_interest', 'establishment']","299 Rue Lecourbe, Paris",2
307,Little Temple Bar,bar,OPERATIONAL,ChIJK0-HlNlx5kcRMQtyHERHxj0,48.8522313,2.3344077,4.2,573,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","12 Rue Princesse, Paris",2
308,Tata Monique,bar,OPERATIONAL,ChIJtUNLsgNx5kcRKUAZrDwppx0,48.8474612,2.3471557,4.8,133,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","18 Rue Laplace, Paris",
309,Le Comptoir Sport Bar,bar,OPERATIONAL,ChIJO-rvOkdw5kcRw0WHMg09ZbU,48.835102,2.3042427,4.4,395,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","13 Rue de Vouillé, Paris",2
310,Aux Marsouins,bar,OPERATIONAL,ChIJ7ejZFutx5kcR99AjljqagJQ,48.837598,2.3465869,4.6,229,"['bar', 'point_of_interest', 'establishment']","50 Bd de Port-Royal, Paris",1
311,Select Bar,bar,OPERATIONAL,ChIJX80xNThw5kcRUnQWoASOFag,48.8392586,2.30815,4.0,26,"['bar', 'food', 'point_of_interest', 'establishment']","36 Rue Mathurin Régnier, Paris",
312,Groliv bar,bar,OPERATIONAL,ChIJ0UUelEJx5kcRr_BuK2QKuoU,48.8435181,2.3380779,5.0,1,"['bar', 'point_of_interest', 'establishment']","4 Rue Herschel, Paris",
313,Aux Sports,bar,OPERATIONAL,ChIJSaVXGZB65kcR-AgdJpvW1uU,48.8343459,2.2958217,4.3,219,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2 Rue des Morillons, Paris",1
314,Ecobar - Bar café Paris 13e,bar,OPERATIONAL,ChIJyUGN1R1x5kcRnQ3DY8ZfO0o,48.8227819,2.3462731,4.7,49,"['bar', 'point_of_interest', 'establishment']","4 Rue Boussingault, Paris",
315,Bar Là-Bas,bar,OPERATIONAL,ChIJ315T6PFx5kcRmVd7WoQQ2AI,48.8297529,2.2840815,4.5,12,"['bar', 'night_club', 'point_of_interest', 'establishment']","5 Rue Ernest Renan, Issy-les-Moulineaux",
316,P'tit Cocoche,bar,OPERATIONAL,ChIJx0jjsGVx5kcRR69zKExwwdk,48.8446115,2.3187732,5.0,138,"['bar', 'point_of_interest', 'establishment']","121 Rue de Vaugirard, Paris",
317,Cerveceria,bar,OPERATIONAL,ChIJRyqqf4Bx5kcRr6pHqYrETPU,48.8350228,2.3270683,0.0,0,"['bar', 'point_of_interest', 'establishment']","58 Rue Daguerre, Paris",
318,Expresso & Brew Bar,bar,OPERATIONAL,ChIJp7dzydNx5kcROHv64I8oivg,48.8493958,2.3259911,0.0,0,"['bar', 'point_of_interest', 'establishment']","48 Rue du Cherche-Midi, Paris",
319,100 Stress Bar & Restaurant,bar,OPERATIONAL,ChIJyy9pH19w5kcRiWmtZ19V2nw,48.8191433,2.3006632,4.0,13,"['bar', 'point_of_interest', 'establishment']","Bd Gabriel Péri, Malakoff",
320,Ibis Paris Gare Montparnasse Catalogne,hotel,OPERATIONAL,ChIJ9QsrVDVw5kcRstUEaSMxQvU,48.8367801,2.320085,4.3,144,"['lodging', 'point_of_interest', 'establishment']","11 Rue du Texel, Paris",
321,Hotel Montparnasse Alésia,hotel,OPERATIONAL,ChIJ5SL-NrNx5kcR__OH4-SEI0c,48.8300463,2.3202653,4.0,451,"['lodging', 'point_of_interest', 'establishment']","147ter Rue d'Alésia, Paris",
322,Hôtel Mercure Paris Porte de Versailles Expo,hotel,OPERATIONAL,ChIJm1i_qmhw5kcR2905u8MIyTc,48.82684,2.2911622,4.1,2378,"['lodging', 'point_of_interest', 'establishment']","36 38 Rue du Moulin, Vanves",
323,Hôtel Mercure Paris 15 Porte de Versailles,hotel,OPERATIONAL,ChIJE5FoPRNw5kcRLuqrJetkv1c,48.8383717,2.2905004,4.0,457,"['lodging', 'point_of_interest', 'establishment']","6 Rue Saint-Lambert, Paris",
324,Courtyard by Marriott Paris Porte de Versailles,hotel,OPERATIONAL,ChIJDUpITXBw5kcRzKaie4bjIQE,48.8297196,2.2840304,4.2,252,"['lodging', 'point_of_interest', 'establishment']","5 Rue Ernest Renan, Issy-les-Moulineaux",
325,Hôtel du Lion,hotel,OPERATIONAL,ChIJffWJ0rlx5kcR366zaq60vk8,48.8333993,2.3319451,4.2,255,"['lodging', 'point_of_interest', 'establishment']","1 Av. du Général Leclerc, Paris",
326,Hôtel du Parc Montsouris,hotel,OPERATIONAL,ChIJja_AP6Rx5kcRJ1ITW46BcWM,48.8224121,2.3345882,3.7,290,"['lodging', 'point_of_interest', 'establishment']","4 Rue du Parc de Montsouris, Paris",
327,Mama Shelter Paris West,hotel,OPERATIONAL,ChIJmR0x12hw5kcRjVEK27CRP88,48.8287043,2.292037,4.4,2517,"['lodging', 'point_of_interest', 'establishment']","20 Av. de la Prte de la Plaine, Paris",
328,Novotel Paris Porte de Versailles,hotel,OPERATIONAL,ChIJ3wx0j6px5kcR5ppI1orhhlE,48.8299988,2.291907,4.5,655,"['lodging', 'point_of_interest', 'establishment']","4 Av. de la Prte de la Plaine, Paris",
329,Pullman Paris Montparnasse,hotel,OPERATIONAL,ChIJwXZmLDVw5kcRIJ2dYURyo_w,48.8384551,2.320393,4.6,829,"['lodging', 'point_of_interest', 'establishment']","19 Rue du Commandant René Mouchotte, Paris",
330,Drawing House,hotel,OPERATIONAL,ChIJvxurTzVw5kcRV8QAX8awrlQ,48.8372851,2.3200629,4.6,158,"['lodging', 'point_of_interest', 'establishment']","21 Rue Vercingétorix, Paris",
331,Vice Versa Hotel,hotel,OPERATIONAL,ChIJ_exf2Gxw5kcRIjHF2HQ4Szw,48.8363813,2.2897122,4.2,536,"['lodging', 'point_of_interest', 'establishment']","213 Rue de la Croix Nivert, Paris",
332,Hotel Paris Vaugirard,hotel,OPERATIONAL,ChIJK89My21w5kcR1Q91NYFX9qg,48.833035,2.289085,4.2,1422,"['lodging', 'point_of_interest', 'establishment']","403 Rue de Vaugirard, Paris",
333,Hotel Apollon Montparnasse,hotel,OPERATIONAL,ChIJPTs3Wkpw5kcRXQl-PIayHSo,48.8347914,2.3170114,4.1,477,"['lodging', 'point_of_interest', 'establishment']","91 Rue de l'Ouest, Paris",
334,Hotel Luxor,hotel,OPERATIONAL,ChIJb0mf7nBw5kcROIa-FBNkExU,48.8288883,2.2823426,3.3,457,"['lodging', 'point_of_interest', 'establishment']","24 Rue Ernest Renan, Issy-les-Moulineaux",
335,Hôtel Le M,hotel,OPERATIONAL,ChIJ__xpCstx5kcR16dL1vjca74,48.8396834,2.3234017,4.1,429,"['lodging', 'point_of_interest', 'establishment']","20 bis Rue de la Gaité, Paris",
336,hotelF1 Paris Porte de Châtillon,hotel,OPERATIONAL,ChIJDRb8plNw5kcRCCKAqsBJTz4,48.82270510000001,2.3166233,3.5,3462,"['lodging', 'point_of_interest', 'establishment']","23 Av. de la Prte de Châtillon, Paris",
337,OKKO Hotels Paris Porte De Versailles,hotel,OPERATIONAL,ChIJoe6UJXRw5kcROzDW8BFoEHA,48.83275690000001,2.2782264,4.5,1007,"['lodging', 'point_of_interest', 'establishment']","2 Rue du Colonel Pierre Avia, Paris",
338,Aparthotel Adagio Paris Montrouge,hotel,OPERATIONAL,ChIJu24KJlVw5kcRhBrG39amnwI,48.8201869,2.3115428,4.1,825,"['lodging', 'point_of_interest', 'establishment']","96 Rue Gabriel Péri, Montrouge",
339,Hôtel Mercure Paris Porte d'Orléans,hotel,OPERATIONAL,ChIJo17NZahx5kcRE_6jteURV64,48.81763,2.3292313,3.8,926,"['lodging', 'point_of_interest', 'establishment']","13 Rue François Ory, Montrouge",
340,Hôtel Mercure Paris Vaugirard Porte de Versailles,hotel,OPERATIONAL,ChIJc2p0WHBw5kcRFIJOsnY0-U0,48.8331224,2.2881547,4.3,782,"['lodging', 'point_of_interest', 'establishment']","69 Bd Victor, Paris",
341,ibis budget Paris Porte de Vanves,hotel,OPERATIONAL,ChIJvfMGp11w5kcRgxqACxtRnyQ,48.8242558,2.2988666,3.7,895,"['lodging', 'point_of_interest', 'establishment']","110 Rue Jean Bleuzen, Vanves",
342,Graphik Montparnasse,hotel,OPERATIONAL,ChIJeYDcuLVx5kcRAfIrdSZLIbs,48.8348666,2.3243032,4.5,40,"['lodging', 'point_of_interest', 'establishment']","131 Av. du Maine, Paris",
343,Hôtel des Bains,hotel,OPERATIONAL,ChIJg7l9_8tx5kcRezYfish_p0o,48.8413919,2.3262594,3.9,168,"['lodging', 'point_of_interest', 'establishment']","33 Rue Delambre, Paris",
344,Hôtel Oceania Paris Porte de Versailles,hotel,OPERATIONAL,ChIJk0QEunFw5kcRZWlV5S9F5rY,48.8303841,2.284224,4.0,1938,"['city_hall', 'night_club', 'spa', 'bar', 'lodging', 'local_government_office', 'restaurant', 'food', 'point_of_interest', 'establishment']","52 Rue d'Oradour-sur-Glane, Paris",
345,ibis budget Châtillon Paris Ouest,hotel,OPERATIONAL,ChIJo8ps8phw5kcR3-go78rB_Dk,48.7989249,2.2809973,3.8,733,"['lodging', 'point_of_interest', 'establishment']","Zac Des Sablons, 111 Av. de Verdun Lot ""C, Châtillon",
346,Hôtel Convention Montparnasse,hotel,OPERATIONAL,ChIJNWFcTBVw5kcR9nbK0ysmBKc,48.8372196,2.297183,4.1,425,"['lodging', 'point_of_interest', 'establishment']","41 Rue Alain Chartier, Paris",
347,Porte de Versailles Hôtel,hotel,OPERATIONAL,ChIJTXrFjW1w5kcRmBFWuPvxhjo,48.8351285,2.2825234,4.0,329,"['lodging', 'point_of_interest', 'establishment']","11 Bd Victor, Paris",
348,Best Western Nouvel Orléans Montparnasse,hotel,OPERATIONAL,ChIJuQ13tbBx5kcRYbm00zxlISg,48.8310515,2.3299269,3.9,475,"['lodging', 'point_of_interest', 'establishment']","25 Av. du Général Leclerc, Paris",
349,Best Western Hôtel Montcalm Paris 15 (Hôtel Paris 75015),hotel,OPERATIONAL,ChIJ3ytxdRJw5kcRF3yS1gd-iIo,48.84092769999999,2.287007,4.1,432,"['lodging', 'point_of_interest', 'establishment']","50 Av. Félix Faure, Paris",
350,B&B HOTEL Paris Malakoff Parc des Expositions,hotel,OPERATIONAL,ChIJE6Jci1xw5kcR1SKZmVsEO7Y,48.824619,2.3009437,3.7,3480,"['lodging', 'point_of_interest', 'establishment']","2 Bd Charles de Gaulle, Malakoff",
351,ibis Paris Brancion Parc des Expositions 15ème,hotel,OPERATIONAL,ChIJjRzJlkNw5kcRk6A6DgO5j9U,48.8303131,2.3020924,4.0,444,"['lodging', 'point_of_interest', 'establishment']","105 Rue Brancion, Paris",
352,ibis Paris Porte d'Orléans,hotel,OPERATIONAL,ChIJjcZAEqhx5kcRyVC9-_aWNxI,48.8175014,2.3294676,3.5,2808,"['lodging', 'point_of_interest', 'establishment']","33 Rue Barbès, Montrouge",
353,Hôtel Avenir Vaugirard,hotel,OPERATIONAL,ChIJB-jbJWtw5kcRutefYo9ZA_g,48.8362765,2.2946043,2.7,284,"['lodging', 'point_of_interest', 'establishment']","373 Rue de Vaugirard, Paris",
354,Hôtel Mercure Paris Gare Montparnasse,hotel,OPERATIONAL,ChIJAQZ1qMtx5kcRDPU1qZp15Sg,48.8399957,2.3235618,4.1,1093,"['lodging', 'point_of_interest', 'establishment']","20 Rue de la Gaité, Paris",
355,Hôtel Max,hotel,OPERATIONAL,ChIJQ0JEabBx5kcRs7bS4vySkNw,48.8279223,2.3297836,4.6,266,"['lodging', 'point_of_interest', 'establishment']","34 Rue d'Alésia, Paris",
356,ibis Styles Paris 15 Lecourbe,hotel,OPERATIONAL,ChIJiSts4RJw5kcR-XgwUij76AA,48.8389056,2.2893162,4.1,431,"['lodging', 'point_of_interest', 'establishment']","192 Rue de la Croix Nivert, Paris",
357,Hôtel Résidence de la Tour,hotel,OPERATIONAL,ChIJ55fN51tw5kcRLJ_hgsSMR3w,48.822444,2.3036667,3.6,167,"['lodging', 'point_of_interest', 'establishment']","43 Av. Pierre Larousse, Malakoff",
358,Hotel Val Girard,hotel,OPERATIONAL,ChIJk5mjafFt5kcRG8UDtPEtNbk,48.84075869999999,2.2992322,4.4,264,"['lodging', 'point_of_interest', 'establishment']","14 Rue Pétel, Paris",
359,Arty Paris Porte de Versailles,hotel,OPERATIONAL,ChIJ7yUOoEZw5kcRjyluN5-HuUs,48.8318095,2.3044912,3.4,1006,"['lodging', 'point_of_interest', 'establishment']","62 Rue des Morillons, Paris",
360,Hôtel de l'Europe,hotel,OPERATIONAL,ChIJeeRo7K9x5kcRB5bsvJJ0TLs,48.825258,2.329659,2.4,273,"['lodging', 'point_of_interest', 'establishment']","35 Rue du Père Corentin, Paris",
361,Novotel Paris Centre Gare Montparnasse,hotel,OPERATIONAL,ChIJ8Y6-2TVw5kcRHI8o6L5-sZI,48.8384314,2.3149695,4.2,1832,"['lodging', 'point_of_interest', 'establishment']","17 Rue du Cotentin, Paris",
362,Central Hotel Paris,hotel,OPERATIONAL,ChIJo7K3nstx5kcRMCqwJej43H4,48.84043279999999,2.3237651,3.8,277,"['lodging', 'point_of_interest', 'establishment']","1Bis Rue du Maine, Paris",
363,Aparthotel Adagio Paris XV,hotel,OPERATIONAL,ChIJMyacW3Fw5kcR9vedBNXSP1A,48.8310212,2.2827683,3.6,1186,"['lodging', 'point_of_interest', 'establishment']","20 Rue d'Oradour-sur-Glane, Paris",
364,Le Victor Hugo,hotel,OPERATIONAL,ChIJKfw2mqpx5kcR0Nqc7LqD2-g,48.81693809999999,2.3206173,4.1,294,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","52 Rue Louis Rolland, Montrouge",
365,Hôtel de Paris Montparnasse,hotel,OPERATIONAL,ChIJU8t8Fctx5kcROb1uZeRI3O8,48.8401769,2.3220977,4.3,784,"['lodging', 'bar', 'point_of_interest', 'establishment']","51 Av. du Maine, Paris",
366,Hôtel Printania,hotel,OPERATIONAL,ChIJaUhtUWpw5kcRoIzN7rh4_Zk,48.8340757,2.2953954,2.4,216,"['lodging', 'point_of_interest', 'establishment']","55 Rue Olivier de Serres, Paris",
367,Hôtel Miramar Paris Montparnasse,hotel,OPERATIONAL,ChIJRerVTzNw5kcRKroSgUbUhls,48.8422743,2.3202031,3.8,223,"['lodging', 'point_of_interest', 'establishment']","6 Pl. Bienvenüe, Paris",
368,Hôtel Mistral,hotel,OPERATIONAL,ChIJM8WdArFx5kcRNbviIxF9uoY,48.8368944,2.323832,4.7,937,"['lodging', 'point_of_interest', 'establishment']","24 Rue Cels, Paris",
