,name,api_keyword,business_status,place_id,lat,lng,rating,user_ratings_total,types,vicinity,price_level
25,Le Chiquito,bar,OPERATIONAL,ChIJrd1WBLVw5kcRuclbM5nm4uw,48.7788942,2.2908969,3.7,79,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","71 Rue Houdan, Sceaux",1
26,Stardust,bar,OPERATIONAL,ChIJb8jmeq1w5kcRorADriBaROk,48.7789448,2.2815484,3.9,83,"['bar', 'point_of_interest', 'establishment']","151 Rue Houdan, Sceaux",
27,Le Tremplin,bar,OPERATIONAL,ChIJG5pT9V5w5kcRv8LTcE5Vn-o,48.820638,2.2995545,4.7,78,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']","9 Av. Jules Ferry, Malakoff",
28,Le Celtique,bar,OPERATIONAL,ChIJVURPbAd65kcRadIstqLjUns,48.7839438,2.2700528,3.9,86,"['bar', 'point_of_interest', 'establishment']","5 Rue du Tour de l'Étang, Le Plessis-Robinson",
29,A Rabelais,bar,OPERATIONAL,ChIJhVz7JU565kcRk78pLuNTuKc,48.8079362,2.2359601,3.8,78,"['bar', 'point_of_interest', 'establishment']","32 Rue de la République, Meudon",1
30,La Camargue Bar-Tabac,bar,OPERATIONAL,ChIJF4b5Ky565kcR7c-asVRO7_Q,48.7873005,2.2352018,3.7,21,"['bar', 'point_of_interest', 'store', 'establishment']","18 All. Marcel Simon, Meudon",
31,Bar Brasserie Amstel,bar,OPERATIONAL,ChIJ7xA7zWN65kcRfQDhg0TblW0,48.8151358,2.2577684,0.0,0,"['bar', 'point_of_interest', 'establishment']","146 Av. Henri Barbusse, Clamart",
32,Le Versailles,bar,OPERATIONAL,ChIJhbk1HCJ65kcRgA4LI2g8KT0,48.7828334,2.2478215,3.9,140,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","16 Rue de Versailles, Clamart",1
33,Tabac de la Gare,bar,OPERATIONAL,ChIJz4bAkWFw5kcRFrKfvx3m4Uo,48.8186,2.2912819,4.0,229,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","22 Av. Jacques Jezequel, Vanves",1
34,Le Living Bar Restaurant,bar,OPERATIONAL,ChIJN9pmYXJ65kcRDLIodKnpJtk,48.8002081,2.2624336,4.1,111,"['bar', 'point_of_interest', 'establishment']","Av. René Samuel, Clamart",
35,De2et-3le2et,bar,OPERATIONAL,ChIJe065MRpx5kcRWo3e18qLz3E,48.8069879,2.2941598,5.0,3,"['bar', 'point_of_interest', 'establishment']","88 Av. de Paris, Châtillon",
